Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
12-Aug-25,Tuesday,August,2025,Q3,EQ,91.31,91.75,90.10,90.77,90.60,90.27,90.98,216.99,89.70,7712576.00,40816.00
11-Aug-25,Monday,August,2025,Q3,EQ,91.51,91.83,89.70,91.45,90.72,90.77,90.37,216.99,89.70,19734988.00,75148.00
08-Aug-25,Friday,August,2025,Q3,EQ,94.12,94.54,91.00,94.12,91.56,91.45,92.58,216.99,91.00,9884650.00,65564.00
07-Aug-25,Thursday,August,2025,Q3,EQ,94.49,94.76,92.56,95.35,94.50,94.12,93.67,216.99,92.56,24236301.00,80894.00
06-Aug-25,Wednesday,August,2025,Q3,EQ,97.60,97.80,94.77,97.38,95.11,95.35,95.88,216.99,94.77,11149228.00,65891.00
05-Aug-25,Tuesday,August,2025,Q3,EQ,98.50,99.08,96.46,98.30,97.49,97.38,97.92,216.99,95.06,9072134.00,44492.00
04-Aug-25,Monday,August,2025,Q3,EQ,95.55,98.50,95.06,95.54,98.49,98.30,97.32,216.99,95.06,9078395.00,39407.00
01-Aug-25,Friday,August,2025,Q3,EQ,97.17,97.99,95.31,97.17,95.50,95.54,96.32,216.99,95.31,6424969.00,41468.00
31-Jul-25,Thursday,July,2025,Q3,EQ,96.89,98.50,95.55,98.92,97.17,97.17,97.44,216.99,95.55,17246210.00,65908.00
30-Jul-25,Wednesday,July,2025,Q3,EQ,102.69,102.80,98.45,102.59,98.85,98.92,99.80,216.99,96.98,16070296.00,77699.00
29-Jul-25,Tuesday,July,2025,Q3,EQ,101.88,102.69,101.00,101.88,102.60,102.59,102.10,216.99,96.98,5756095.00,29720.00
28-Jul-25,Monday,July,2025,Q3,EQ,100.65,102.32,100.65,100.34,102.00,101.88,101.64,216.99,96.98,16642565.00,88012.00
25-Jul-25,Friday,July,2025,Q3,EQ,103.28,103.47,100.00,103.05,100.41,100.34,101.57,216.99,96.98,11999734.00,69122.00
24-Jul-25,Thursday,July,2025,Q3,EQ,99.11,103.75,99.10,98.83,103.28,103.05,102.30,216.99,96.98,34498069.00,115254.00
23-Jul-25,Wednesday,July,2025,Q3,EQ,97.70,99.10,96.98,97.24,98.90,98.83,98.37,216.99,96.98,16250471.00,71060.00
22-Jul-25,Tuesday,July,2025,Q3,EQ,101.00,101.27,97.10,100.81,97.50,97.24,98.61,216.99,97.10,13022343.00,89494.00
21-Jul-25,Monday,July,2025,Q3,EQ,101.00,101.51,99.90,100.97,100.80,100.81,100.65,216.99,99.90,12592541.00,62884.00
18-Jul-25,Friday,July,2025,Q3,EQ,102.64,103.59,100.80,153.87,101.07,100.97,101.83,216.99,100.80,12755135.00,71723.00
17-Jul-25,Thursday,July,2025,Q3,EQ,154.03,155.45,153.66,154.18,153.80,153.87,154.33,216.99,107.25,4821942.00,42669.00
16-Jul-25,Wednesday,July,2025,Q3,EQ,156.00,156.37,153.44,156.01,154.29,154.18,154.42,216.99,107.25,6271518.00,40602.00
15-Jul-25,Tuesday,July,2025,Q3,EQ,153.94,158.92,153.36,152.24,156.26,156.01,156.62,216.99,107.25,16594122.00,110020.00
14-Jul-25,Monday,July,2025,Q3,EQ,151.80,153.72,150.80,150.75,152.99,152.24,152.52,216.99,107.25,12643715.00,75481.00
11-Jul-25,Friday,July,2025,Q3,EQ,153.40,154.49,150.00,153.53,150.30,150.75,152.12,216.99,107.25,6595034.00,46216.00
10-Jul-25,Thursday,July,2025,Q3,EQ,156.00,156.00,152.94,154.92,153.40,153.53,153.88,216.99,107.25,10149607.00,64891.00
09-Jul-25,Wednesday,July,2025,Q3,EQ,154.04,155.81,153.50,154.04,154.51,154.92,154.82,216.99,107.25,7753919.00,60858.00
08-Jul-25,Tuesday,July,2025,Q3,EQ,155.24,155.71,152.00,155.24,154.14,154.04,153.73,216.99,107.25,10498495.00,59263.00
07-Jul-25,Monday,July,2025,Q3,EQ,153.50,155.98,153.07,153.90,155.00,155.24,154.93,216.99,107.25,8806537.00,42605.00
04-Jul-25,Friday,July,2025,Q3,EQ,154.28,154.83,152.62,154.28,153.81,153.90,153.52,216.99,107.25,3834030.00,25408.00
03-Jul-25,Thursday,July,2025,Q3,EQ,153.68,156.20,153.37,152.92,154.20,154.28,154.89,216.99,107.25,9377606.00,47360.00
02-Jul-25,Wednesday,July,2025,Q3,EQ,152.10,153.49,151.05,152.15,152.75,152.92,152.39,216.99,107.25,7245108.00,27683.00
01-Jul-25,Tuesday,July,2025,Q3,EQ,154.84,155.18,151.99,154.83,152.30,152.15,153.11,216.99,107.25,5559829.00,35558.00
30-Jun-25,Monday,June,2025,Q2,EQ,155.20,155.45,152.55,154.13,154.85,154.83,154.25,216.99,107.25,6039992.00,34988.00
27-Jun-25,Friday,June,2025,Q2,EQ,155.13,156.49,153.41,154.39,155.00,154.13,154.38,216.99,107.25,21194860.00,61519.00
26-Jun-25,Thursday,June,2025,Q2,EQ,154.12,154.78,152.00,153.36,154.25,154.39,153.60,216.99,107.25,10342134.00,44916.00
25-Jun-25,Wednesday,June,2025,Q2,EQ,152.01,155.10,151.36,151.45,153.50,153.36,153.49,216.99,107.25,12523742.00,55803.00
24-Jun-25,Tuesday,June,2025,Q2,EQ,150.96,154.58,150.10,148.05,151.45,151.45,152.73,216.99,107.25,13946239.00,72805.00
23-Jun-25,Monday,June,2025,Q2,EQ,147.50,148.90,145.18,150.20,148.00,148.05,146.77,216.99,107.25,14361320.00,74405.00
20-Jun-25,Friday,June,2025,Q2,EQ,147.00,151.20,146.27,147.74,149.30,150.20,149.76,216.99,107.25,19277139.00,55376.00
19-Jun-25,Thursday,June,2025,Q2,EQ,148.65,152.08,147.40,149.81,148.00,147.74,149.62,216.99,107.25,10526421.00,53234.00
18-Jun-25,Wednesday,June,2025,Q2,EQ,150.20,152.68,149.15,150.80,149.50,149.81,150.27,216.99,107.25,6271740.00,44080.00
17-Jun-25,Tuesday,June,2025,Q2,EQ,153.18,153.47,150.38,153.18,150.85,150.80,151.63,216.99,107.25,11240327.00,55078.00
16-Jun-25,Monday,June,2025,Q2,EQ,153.47,154.37,150.48,154.01,152.52,153.18,153.17,216.99,107.25,10392301.00,49687.00
13-Jun-25,Friday,June,2025,Q2,EQ,150.00,154.26,150.00,155.24,154.10,154.01,153.10,216.99,107.25,6477453.00,36249.00
12-Jun-25,Thursday,June,2025,Q2,EQ,159.41,159.45,154.50,159.57,155.00,155.24,156.08,216.99,107.25,9227236.00,63706.00
11-Jun-25,Wednesday,June,2025,Q2,EQ,159.00,160.05,156.71,158.83,159.60,159.57,158.88,216.99,107.25,8980074.00,48109.00
10-Jun-25,Tuesday,June,2025,Q2,EQ,161.84,162.25,158.50,161.00,158.90,158.83,159.56,216.99,107.25,10986320.00,65255.00
09-Jun-25,Monday,June,2025,Q2,EQ,158.20,161.35,158.15,157.49,160.80,161.00,160.06,216.99,107.25,14554673.00,51446.00
06-Jun-25,Friday,June,2025,Q2,EQ,155.84,158.47,154.73,155.63,157.45,157.49,157.20,216.99,107.25,9715974.00,79648.00
05-Jun-25,Thursday,June,2025,Q2,EQ,154.00,156.90,153.30,152.71,155.85,155.63,155.56,216.99,107.25,13390318.00,72779.00
04-Jun-25,Wednesday,June,2025,Q2,EQ,150.41,153.95,150.17,150.41,153.15,152.71,152.23,216.99,107.25,13946432.00,110912.00
03-Jun-25,Tuesday,June,2025,Q2,EQ,150.80,152.66,149.91,150.94,150.25,150.41,151.15,216.99,107.25,9448029.00,94358.00
02-Jun-25,Monday,June,2025,Q2,EQ,153.90,154.25,150.50,153.12,150.60,150.94,151.83,216.99,107.25,16450316.00,86090.00
30-May-25,Friday,May,2025,Q2,EQ,155.00,158.66,152.55,152.09,152.70,153.12,154.83,216.99,107.25,51620139.00,207472.00
29-May-25,Thursday,May,2025,Q2,EQ,151.00,153.68,147.04,148.70,152.12,152.09,150.80,216.99,107.25,35033934.00,119489.00
